SucursalID,ClienteID,NombreSucursal,Direccion,Provincia,Localidad,Latitud,Longitud,CodigoPostal
1,1,Sucursal 1,Diag. Corrientes N° 8972,Entre Ríos,Concordia,-31.38363,-58.019652,3200
2,1,Sucursal 2,Avenida Formosa N° 39,Misiones,Posadas,-27.365197,-55.893171,3300
3,1,Sucursal 3,Avenida La Rioja N° 177,Misiones,Puerto Iguazú,-25.596036,-54.578734,3370
4,1,Sucursal 4,Calle J.B. Alberdi N° 299,Chaco,Barranqueras,-27.484002,-58.931915,3503
5,2,Sucursal 1,Avenida 7 N° 512,Corrientes,Paso de los Libres,-29.71392,-57.085214,3230
6,3,Sucursal 1,Av. 3 N° 813,Misiones,Eldorado,-26.398359,-54.615181,3380
7,4,Sucursal 1,Diagonal 9 N° 622,Entre Ríos,Paraná,-31.738942,-60.513643,3100
8,5,Sucursal 1,Diagonal 9 N° 6386,Formosa,El Colorado,-26.2991,-59.367059,3603
9,6,Sucursal 1,Avenida Tucumán N° 78,Entre Ríos,Paraná,-31.74041,-60.508981,3100
10,7,Sucursal 1,Avenida 2 N° 689,Chaco,Sáenz Peña,-26.79468,-60.440497,3700
11,7,Sucursal 2,Diagonal Córdoba N° 3116,Entre Ríos,Gualeguay,-33.143961,-59.31532,2840
12,8,Sucursal 1,Av. 1 N° 388,Misiones,Puerto Iguazú,-25.598313,-54.580761,3370
13,8,Sucursal 2,Av. Corrientes N° 224,Chaco,Villa Ángela,-27.582432,-60.718211,3540
14,9,Sucursal 1,Calle Salta N° 326,Formosa,El Colorado,-26.298673,-59.36799,3603
15,9,Sucursal 2,Avenida San Miguel de Tucumán N° 785,Entre Ríos,Gualeguaychú,-33.010639,-58.508718,2820
16,9,Sucursal 3,Calle Mar del Plata N° 538,Chaco,Charata,-27.218467,-61.199358,3730
17,9,Sucursal 4,Diag. La Rioja N° 782,Chaco,Sáenz Peña,-26.790713,-60.439327,3700
18,10,Sucursal 1,Diag. Chaco N° 99,Chaco,Barranqueras,-27.483331,-58.935624,3503
19,11,Sucursal 1,Boulevard 7 N° 491,Entre Ríos,Paraná,-31.741336,-60.51133,3100
20,11,Sucursal 2,Av. 9 N° 55,Corrientes,Corrientes Capital,-27.477579,-58.831996,3400
21,12,Sucursal 1,Diag. Mar del Plata N° 116,Misiones,Eldorado,-26.397835,-54.61629,3380
22,13,Sucursal 1,Diag. Corrientes N° 476,Formosa,Pirané,-25.732202,-59.115124,3606
23,13,Sucursal 2,Av. Buenos Aires N° 243,Entre Ríos,Gualeguay,-33.144262,-59.316176,2840
24,14,Sucursal 1,Diagonal Posadas N° 693,Chaco,Villa Ángela,-27.585006,-60.714165,3540
25,14,Sucursal 2,Diagonal J.B. Alberdi N° 69,Misiones,Eldorado,-26.39996,-54.615929,3380
26,15,Sucursal 1,Av. Río Negro N° 155,Misiones,Puerto Iguazú,-25.595989,-54.581105,3370
27,15,Sucursal 2,Av. 9 N° 705,Formosa,Pirané,-25.733074,-59.118784,3606
28,16,Sucursal 1,Calle Posadas N° 4749,Chaco,Charata,-27.219226,-61.197474,3730
29,17,Sucursal 1,Avenida La Rioja N° 166,Formosa,Pirané,-25.734339,-59.116181,3606
30,18,Sucursal 1,Diagonal Catamarca N° 633,Chaco,Charata,-27.215508,-61.19862,3730
31,19,Sucursal 1,Boulevard Alem N° 97,Corrientes,Goya,-29.141933,-59.260152,3450
32,19,Sucursal 2,Av. Pte. Perón N° 22,Corrientes,Paso de los Libres,-29.71308,-57.086847,3230
33,20,Sucursal 1,Diagonal Belgrano N° 34,Entre Ríos,Concordia,-31.38185,-58.015256,3200
34,20,Sucursal 2,Calle 6 N° 5972,Corrientes,Paso de los Libres,-29.715724,-57.089677,3230
35,21,Sucursal 1,Calle 9 N° 898,Chaco,Resistencia,-27.451122,-58.98652,3500
36,22,Sucursal 1,Boulevard 104 B N° 74,Entre Ríos,Concepción del Uruguay,-32.484045,-58.237969,3260
37,22,Sucursal 2,Avenida 8 N° 4520,Entre Ríos,Concepción del Uruguay,-32.480913,-58.238587,3260
38,22,Sucursal 3,Calle 4 N° 51,Corrientes,Paso de los Libres,-29.711171,-57.090324,3230
39,22,Sucursal 4,Calle Santa Rosa N° 47,Misiones,Puerto Iguazú,-25.598568,-54.581217,3370
40,22,Sucursal 5,Avenida Malvinas Argentinas N° 7136,Entre Ríos,Gualeguaychú,-33.00495,-58.510035,2820
41,23,Sucursal 1,Av. San Miguel de Tucumán N° 7161,Misiones,Apóstoles,-27.916635,-55.769367,3350
42,23,Sucursal 2,Calle San Salvador de Jujuy N° 8446,Formosa,Ingeniero Juárez,-23.901999,-61.852056,3636
43,23,Sucursal 3,Calle Córdoba N° 49,Entre Ríos,Gualeguay,-33.144083,-59.316257,2840
44,23,Sucursal 4,Calle Malvinas Argentinas N° 516,Entre Ríos,Concepción del Uruguay,-32.484908,-58.235755,3260
45,24,Sucursal 1,Avenida 8 N° 406,Corrientes,Goya,-29.138248,-59.265626,3450
46,24,Sucursal 2,Calle Neuquén N° 13,Corrientes,Goya,-29.140569,-59.263402,3450
47,25,Sucursal 1,Calle Catamarca N° 6396,Chaco,Resistencia,-27.448513,-58.983455,3500
48,26,Sucursal 1,Calle 8 N° 1984,Chaco,Barranqueras,-27.484369,-58.933802,3503
49,26,Sucursal 2,Calle 2 N° 938,Entre Ríos,Concepción del Uruguay,-32.48368,-58.235244,3260
50,27,Sucursal 1,Diagonal Mendoza N° 22,Misiones,Oberá,-27.485584,-55.11566,3360
51,27,Sucursal 2,Av. 137 B N° 53,Corrientes,Goya,-29.142324,-59.260874,3450
52,27,Sucursal 3,Blv. 1 N° 617,Corrientes,Goya,-29.137676,-59.265286,3450
53,27,Sucursal 4,Calle Belgrano N° 1598,Misiones,Apóstoles,-27.914504,-55.765059,3350
54,28,Sucursal 1,Diagonal Salta N° 817,Misiones,Posadas,-27.369582,-55.89636,3300
55,28,Sucursal 2,Camino Santa Fe N° 135,Misiones,Oberá,-27.485096,-55.116317,3360
56,29,Sucursal 1,Camino Río Negro N° 98,Entre Ríos,Concepción del Uruguay,-32.481864,-58.237416,3260
57,29,Sucursal 2,Diagonal Tucumán N° 15,Formosa,Ingeniero Juárez,-23.897169,-61.847013,3636
58,30,Sucursal 1,Diagonal Comodoro Rivadavia N° 5135,Entre Ríos,Concepción del Uruguay,-32.480197,-58.235637,3260
59,31,Sucursal 1,Calle La Rioja N° 655,Corrientes,Mercedes,-29.184262,-58.07944,3470
60,32,Sucursal 1,Diagonal 7 N° 783,Formosa,Pirané,-25.734221,-59.114663,3606
61,32,Sucursal 2,Avenida Tierra del Fuego N° 894,Corrientes,Corrientes Capital,-27.477794,-58.837591,3400
62,32,Sucursal 3,Calle San Martin N° 59,Entre Ríos,Concordia,-31.384042,-58.015272,3200
63,33,Sucursal 1,Camino Merlo N° 380,Corrientes,Paso de los Libres,-29.714569,-57.084601,3230
64,33,Sucursal 2,Diagonal Tucumán N° 7457,Misiones,Puerto Iguazú,-25.597248,-54.581241,3370
65,34,Sucursal 1,Avenida San Martin N° 718,Entre Ríos,Gualeguaychú,-33.009121,-58.513537,2820
66,34,Sucursal 2,Avenida 2 N° 716,Chaco,Barranqueras,-27.480916,-58.933181,3503
67,35,Sucursal 1,Avenida Malvinas Argentinas N° 705,Misiones,Apóstoles,-27.913853,-55.769191,3350
68,35,Sucursal 2,Avenida Pte. Perón N° 91,Corrientes,Paso de los Libres,-29.712767,-57.086677,3230
69,36,Sucursal 1,Diagonal Santiago del Estero N° 467,Corrientes,Curuzú Cuatiá,-29.789149,-58.056926,3460
70,36,Sucursal 2,Av. Chilecito N° 1377,Entre Ríos,Concordia,-31.380515,-58.018279,3200
71,37,Sucursal 1,Av. Santa Fe N° 885,Misiones,Posadas,-27.364544,-55.896742,3300
72,37,Sucursal 2,Av. 9 N° 1358,Entre Ríos,Concepción del Uruguay,-32.483642,-58.237483,3260
73,38,Sucursal 1,Av. 5 N° 44,Corrientes,Curuzú Cuatiá,-29.787039,-58.056483,3460
74,39,Sucursal 1,Calle San Martin N° 1254,Corrientes,Paso de los Libres,-29.714868,-57.089514,3230
75,39,Sucursal 2,Calle Rivadavia N° 25,Misiones,Apóstoles,-27.917816,-55.768976,3350
76,39,Sucursal 3,Av. Ciudad Autónoma de Buenos Aires N° 719,Misiones,Oberá,-27.480512,-55.118454,3360
77,39,Sucursal 4,Av. 2 N° 87,Chaco,Charata,-27.21692,-61.197885,3730
78,39,Sucursal 5,Diagonal Omar Nuñez N° 1829,Corrientes,Curuzú Cuatiá,-29.791754,-58.053184,3460
79,40,Sucursal 1,Calle San Miguel de Tucumán N° 341,Entre Ríos,Gualeguaychú,-33.00718,-58.51251,2820
80,40,Sucursal 2,Av. Río Gallegos N° 9039,Misiones,Posadas,-27.36921,-55.894833,3300
81,40,Sucursal 3,Av. San Martin N° 5793,Misiones,Oberá,-27.483923,-55.119406,3360
82,40,Sucursal 4,Av. Río Gallegos N° 91,Chaco,Charata,-27.218139,-61.197056,3730
83,41,Sucursal 1,Diagonal 6 N° 3672,Misiones,Eldorado,-26.397872,-54.616364,3380
84,41,Sucursal 2,Camino San Martin N° 74,Formosa,Pirané,-25.734801,-59.116928,3606
85,41,Sucursal 3,Camino Alvear N° 698,Corrientes,Mercedes,-29.183571,-58.08153,3470
86,42,Sucursal 1,Diagonal Omar Nuñez N° 587,Corrientes,Mercedes,-29.183111,-58.079497,3470
